,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
434,435,Roberto Piccoli,it ITA,FW,Atalanta,20,2001,2.2,43,41,2,0,0,0,0,0,0,0,0,0,30,0,1,Matches
435,436,Andrea Pinamonti,it ITA,FW,Empoli,22,1999,31.9,636,608,25,0,4,1,28,5,0,0,0,0,381,3,24,Matches
436,437,Carlo Pinsoglio,it ITA,GK,Juventus,31,1990,0.5,11,10,1,0,0,0,0,0,0,0,0,0,10,0,0,Matches
437,438,Riccardo Pinzi,it ITA,FW,Udinese,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
438,439,Marko Pjaca,hr CRO,MF,Torino,26,1995,12.8,420,410,9,1,0,3,17,3,2,2,0,0,322,1,9,Matches
439,440,Tommaso Pobega,it ITA,MF,Torino,22,1999,24.9,1174,1157,14,12,0,9,16,1,0,0,0,0,918,3,26,Matches
440,441,Suf Podgoreanu,il ISR,FW,Spezia,19,2002,1.3,53,51,2,0,0,0,7,1,1,0,0,0,39,0,1,Matches
441,442,Matteo Politano,it ITA,FW,Napoli,27,1993,18.3,776,689,80,15,0,9,108,18,47,32,5,0,542,7,22,Matches
442,443,Manolo Portanova,it ITA,"FW,MF",Genoa,21,2000,14.7,323,292,27,9,0,2,40,3,15,9,5,0,181,4,16,Matches
443,444,Dennis Praet,be BEL,MF,Torino,27,1994,17.1,588,562,21,4,4,5,45,13,3,0,0,0,430,5,19,Matches
444,445,Mateusz Praszelik,pl POL,MF,Hellas Verona,20,2000,0.3,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
445,446,Ivan Provedel,it ITA,GK,Spezia,27,1994,30.7,1199,837,349,120,1,5,0,0,0,0,0,0,736,13,0,Matches
446,447,Erick Pulgar,cl CHI,MF,Fiorentina,27,1994,3.8,239,214,24,24,0,2,5,0,0,0,0,0,208,1,3,Matches
