,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
135,136,Edgar Costa,pt POR,"MF,FW",Marítimo,34,1987,14.4,10,0,0,29,53,5,79,6,14,0,0,0,74,2,11,15.4,Matches
136,137,Matheus Costa,br BRA,DF,Marítimo,26,1995,21.1,10,0,0,23,19,3,1,24,26,1,0,0,125,50,28,64.1,Matches
137,138,Murilo Costa,br BRA,"FW,MF",Gil Vicente FC,26,1994,9.4,2,0,0,8,13,1,37,8,5,0,0,0,53,11,26,29.7,Matches
138,139,Diogo Costa Rodrigues,pt POR,MF,Portimonense,21,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
139,140,Rui Costa,pt POR,FW,Santa Clara,25,1996,21.8,3,0,0,24,36,16,34,7,9,0,0,0,81,15,44,25.4,Matches
140,141,Tomás Costa Silva,pt POR,"FW,MF",FC Vizela,21,1999,0.4,1,0,0,1,4,0,1,2,1,0,0,0,1,2,1,66.7,Matches
141,142,Vitor Costa,br BRA,DF,Marítimo,27,1994,28.4,8,0,0,45,37,2,61,46,63,0,1,0,169,38,21,64.4,Matches
142,143,Costinha,pt POR,FW,Santa Clara,28,1992,0.9,1,0,0,3,3,0,5,0,1,0,0,0,5,0,0,,Matches
143,144,Filipe Couto,pt POR,MF,Marítimo,27,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
144,145,Yan Couto,br BRA,"DF,MF",Braga,19,2002,20.0,4,0,0,19,31,2,81,23,19,1,0,0,123,5,13,27.8,Matches
145,146,Crespo,pt POR,"MF,FW",Estoril,24,1996,2.9,3,0,0,5,14,1,9,2,4,0,0,0,15,2,6,25.0,Matches
146,147,Sandro Cruz,pt POR,DF,Benfica,20,2001,1.8,0,0,0,5,3,0,3,2,4,0,0,0,12,0,0,,Matches
147,148,Crysan,br BRA,FW,Santa Clara,25,1996,15.9,3,1,1,32,32,9,13,7,17,0,0,0,76,38,40,48.7,Matches
148,149,Lucas Cunha,br BRA,DF,Gil Vicente FC,24,1997,32.0,10,0,0,27,20,0,2,29,8,0,0,1,137,54,36,60.0,Matches
