,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
101,102,Michael Boxall,nz NZL,DF,Minnesota Utd,33,1988,31.0,1466,235,855,565,54,19,1466,3,6,50.0,12,7,808,1,Matches
102,103,Michael Bradley,us USA,MF,Toronto FC,34,1987,33.9,2344,118,613,1436,316,19,2344,17,28,60.7,26,22,1535,26,Matches
103,104,Christopher Brady,us USA,GK,Chicago Fire,17,2004,1.0,38,35,38,0,0,0,38,0,0,,0,0,17,0,Matches
104,105,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23,1998,7.0,450,6,80,199,177,16,450,3,19,15.8,6,7,279,36,Matches
105,106,Claudio Bravo,ar ARG,DF,Portland Timbers,24,1997,24.5,1790,133,588,843,383,40,1790,30,49,61.2,37,18,930,44,Matches
106,107,Brenner,br BRA,FW,FC Cincinnati,22,2000,22.8,884,8,62,367,462,107,883,20,43,46.5,59,35,676,148,Matches
107,108,Sebastian Breza,ca CAN,GK,CF Montréal,23,1998,23.0,665,562,659,6,0,0,665,0,0,,1,0,259,0,Matches
108,109,Emiliano Brienza,ca CAN,FW,Vancouver,19,2002,0.0,8,0,1,5,2,1,8,0,0,,0,0,5,0,Matches
109,110,Andrew Brody,us USA,DF,Real Salt Lake,26,1995,32.8,1944,113,488,892,586,49,1944,33,74,44.6,49,16,1166,66,Matches
110,111,Brandt Bronico,us USA,MF,Charlotte,26,1995,31.2,1891,92,503,1152,252,19,1891,19,37,51.4,25,19,1253,41,Matches
111,112,Javain Brown,jm JAM,DF,Vancouver,22,1999,20.6,1263,125,505,578,188,22,1263,8,16,50.0,15,8,724,22,Matches
112,113,Gastón Brugman,uy URU,MF,LA Galaxy,29,1992,12.5,1102,24,220,703,189,9,1102,13,23,56.5,11,7,857,19,Matches
113,114,Will Bruin,us USA,FW,Seattle,32,1989,9.6,288,5,9,147,136,32,288,3,8,37.5,22,18,238,59,Matches
114,115,Noel Buck,us USA,"MF,FW",New England,16,2005,3.2,133,1,16,60,59,4,133,4,7,57.1,5,7,92,9,Matches
115,116,Adam Buksa,pl POL,FW,New England,25,1996,9.1,268,12,17,140,112,54,268,10,14,71.4,31,18,204,46,Matches
116,117,Teal Bunbury,us USA,"FW,MF",Nashville,31,1990,7.3,270,6,24,124,124,38,270,3,6,50.0,23,8,194,43,Matches
117,118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,13.3,476,19,49,181,262,101,476,17,45,37.8,50,16,323,80,Matches
118,119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,2.0,106,20,67,35,5,3,106,0,0,,0,0,60,0,Matches
119,120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,0.1,9,0,1,3,5,0,9,1,1,100.0,0,0,9,0,Matches
120,121,Brandon Bye,us USA,DF,New England,26,1995,28.5,1848,107,515,790,559,69,1848,21,44,47.7,41,15,1122,86,Matches
121,122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,3.2,218,11,60,120,38,2,218,1,4,25.0,6,1,136,2,Matches
122,123,Kevin Cabral,fr FRA,"FW,MF",LA Galaxy,22,1999,18.7,750,7,82,287,386,114,750,23,57,40.4,53,17,555,145,Matches
123,124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,4.8,345,23,158,182,7,2,345,0,0,,1,0,276,0,Matches
124,125,Deiber Caicedo,co COL,"FW,MF",Vancouver,21,2000,10.9,374,1,31,142,208,40,374,15,26,57.7,19,9,265,67,Matches
125,126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,15.1,727,20,150,476,107,7,727,1,4,25.0,13,4,451,14,Matches
126,127,Drake Callender,us USA,GK,Inter Miami,24,1997,24.0,841,784,841,0,0,0,841,0,0,,1,1,350,0,Matches
127,128,Alexander Callens,pe PER,DF,NYCFC,29,1992,26.5,1879,200,986,767,138,38,1879,7,15,46.7,15,12,1297,21,Matches
128,129,Francisco Calvo,cr CRC,DF,San Jose,29,1992,13.0,1096,82,526,537,48,18,1096,19,24,79.2,19,7,731,2,Matches
129,130,Rudy Camacho,fr FRA,DF,CF Montréal,30,1991,27.5,2002,228,971,992,60,19,2002,8,9,88.9,7,2,1329,4,Matches
130,131,Geoff Cameron,us USA,DF,FC Cincinnati,36,1985,23.5,1078,169,579,478,30,16,1078,5,8,62.5,13,1,530,2,Matches
131,132,Leonardo Campana,ec ECU,FW,Inter Miami,21,2000,17.6,545,23,42,249,260,73,545,9,26,34.6,44,18,416,82,Matches
132,133,George Campbell,us USA,DF,Atlanta Utd,20,2001,16.4,1154,129,508,599,60,12,1154,9,16,56.3,13,10,763,3,Matches
133,134,Russell Canouse,us USA,MF,D.C. United,26,1995,13.2,564,31,123,323,126,20,564,7,13,53.8,13,17,339,22,Matches
134,135,Nathan Cardoso,br BRA,DF,San Jose,26,1995,25.2,1767,231,992,739,62,32,1767,15,36,41.7,30,6,1138,3,Matches
135,136,Antonio Carlos,br BRA,DF,Orlando City,28,1993,18.1,1064,175,573,458,38,18,1064,1,4,25.0,6,0,675,4,Matches
136,137,Wikelman Carmona,ve VEN,"MF,FW",NY Red Bulls,18,2003,0.5,22,0,4,14,4,0,22,0,1,0.0,2,0,12,3,Matches
137,138,Julián Carranza,ar ARG,FW,Philadelphia,21,2000,24.6,945,25,66,415,476,131,942,19,45,42.2,83,29,680,179,Matches
138,139,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23,1998,26.6,1522,47,291,923,343,21,1522,53,76,69.7,42,20,1060,38,Matches
139,140,Wilder Cartagena,pe PER,MF,Orlando City,27,1994,3.7,226,4,63,134,32,1,226,0,2,0.0,1,5,141,0,Matches
140,141,Javier Casas,us USA,MF,Chicago Fire,18,2003,0.4,32,1,3,25,4,0,32,0,0,,2,2,23,0,Matches
141,142,Julio Cascante,cr CRC,DF,Austin,28,1993,30.2,2167,276,1091,944,138,69,2167,7,8,87.5,14,7,1524,9,Matches
142,143,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,22,2000,24.4,1286,34,179,760,368,40,1286,38,65,58.5,40,28,720,65,Matches
143,144,Valentín Castellanos,ar ARG,FW,NYCFC,23,1998,16.2,655,22,37,232,390,139,649,15,31,48.4,48,23,504,138,Matches
144,145,Lucas Cavallini,ca CAN,FW,Vancouver,29,1992,16.8,657,15,52,297,314,89,655,23,59,39.0,76,26,525,107,Matches
145,146,Roman Celentano,us USA,GK,FC Cincinnati,21,2000,27.0,746,658,744,1,1,1,746,0,0,,0,1,184,0,Matches
146,147,Darwin Cerén,sv SLV,MF,Houston Dynamo,32,1989,12.5,661,36,174,408,89,9,661,8,9,88.9,22,9,449,16,Matches
147,148,Edwin Cerrillo,us USA,MF,FC Dallas,21,2000,21.0,1248,66,431,729,95,8,1248,10,17,58.8,17,10,854,8,Matches
148,149,Maikel Chang,cu CUB,"MF,FW",Real Salt Lake,30,1991,20.4,895,17,124,336,446,72,895,16,43,37.2,31,24,597,110,Matches
149,150,Maxime Chanot,lu LUX,DF,NYCFC,32,1989,16.0,1014,137,569,418,33,14,1014,2,4,50.0,4,0,604,2,Matches
150,151,Diego Chará,co COL,MF,Portland Timbers,35,1986,27.1,1645,109,522,938,204,8,1645,9,19,47.4,25,11,1044,29,Matches
151,152,Yimmi Chará,co COL,"MF,FW",Portland Timbers,30,1991,30.7,1687,31,252,782,681,118,1687,31,66,47.0,82,26,1208,184,Matches
152,153,Giorgio Chiellini,it ITA,DF,Los Angeles FC,37,1984,7.9,496,58,209,273,17,2,496,2,3,66.7,1,0,306,0,Matches
153,154,Mathieu Choiniere,ca CAN,"DF,MF",CF Montréal,22,1999,15.3,950,23,171,496,294,25,950,9,24,37.5,29,15,669,62,Matches
154,155,Léo Chú,br BRA,"FW,MF",Seattle,21,2000,9.1,346,1,34,117,199,33,346,11,32,34.4,35,15,250,50,Matches
155,156,Kadin Chung,ca CAN,DF,Toronto FC,23,1998,5.0,300,17,93,141,69,2,300,5,8,62.5,6,2,174,8,Matches
