,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
137,138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,23.9,1641,29,276,978,409,19,1641,25,38,65.8,35,31,1156,39,Matches
138,139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,17.2,966,63,281,536,154,24,966,6,9,66.7,11,6,631,17,Matches
139,140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,15.7,1004,5,61,316,637,84,1004,59,90,65.6,37,28,803,95,Matches
140,141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,2.1,111,2,16,29,68,9,111,5,9,55.6,8,5,79,12,Matches
141,142,Memphis Depay,nl NED,FW,Barcelona,27,1994,20.6,1166,7,51,434,690,125,1161,45,74,60.8,76,34,916,202,Matches
142,143,Sergiño Dest,us USA,"DF,FW",Barcelona,20,2000,16.8,1160,27,250,522,409,47,1160,37,66,56.1,33,24,840,64,Matches
143,144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,14.1,370,3,35,152,190,75,370,11,21,52.4,33,21,287,89,Matches
144,145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,21.6,974,154,506,418,60,20,974,13,19,68.4,15,4,442,5,Matches
145,146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1.0,35,32,35,0,0,0,35,0,0,,0,0,23,0,Matches
146,147,Víctor Díaz,es ESP,DF,Granada,33,1988,16.7,849,116,442,355,58,13,849,4,8,50.0,5,0,461,4,Matches
147,148,Landry Dimata,be BEL,"FW,MF",Espanyol,23,1997,6.0,164,8,14,80,71,20,164,6,10,60.0,24,10,129,31,Matches
148,149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,1017,871,1010,7,0,0,1017,0,0,,0,0,366,0,Matches
149,150,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38.0,1534,1311,1521,11,2,0,1534,0,0,,2,0,717,0,Matches
150,151,Djené,tg TOG,DF,Getafe,29,1991,34.6,1648,186,777,781,100,12,1648,18,18,100.0,32,9,874,2,Matches
151,152,Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,21,1999,2.4,126,4,16,48,63,7,126,3,7,42.9,9,5,92,11,Matches
152,153,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6.0,238,208,237,1,0,0,238,0,0,,1,0,131,0,Matches
153,154,Jaume Doménech,es ESP,GK,Valencia,30,1990,3.8,115,99,113,2,0,0,115,0,0,,0,0,31,0,Matches
154,155,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,3.8,203,24,122,79,3,2,203,1,1,100.0,2,0,120,0,Matches
155,156,Mario Dominguez,es ESP,FW,Valencia,17,2004,0.3,4,1,2,1,1,0,4,0,0,,0,0,2,1,Matches
156,157,John Donald,es ESP,DF,Elche,20,2000,2.0,111,9,54,53,5,2,111,1,1,100.0,1,0,63,1,Matches
157,158,Domingos Duarte,pt POR,DF,Granada,26,1995,18.7,903,139,491,395,23,14,903,2,3,66.7,6,1,485,3,Matches
158,159,Óscar Duarte,cr CRC,DF,Levante,32,1989,19.7,1172,206,684,465,30,25,1172,1,2,50.0,5,1,703,1,Matches
159,160,Rubén Duarte,es ESP,DF,Alavés,25,1995,29.1,1650,99,529,732,403,18,1650,5,9,55.6,20,7,692,17,Matches
160,161,Unai Dufur,es ESP,DF,Osasuna,22,1999,1.0,62,6,16,43,3,2,62,0,0,,0,0,34,0,Matches
161,162,Hugo Duro,es ESP,"DF,MF",Getafe,21,1999,0.1,7,0,0,1,6,4,7,0,0,,0,0,5,1,Matches
162,163,Hugo Duro,es ESP,"FW,MF",Valencia,21,1999,20.4,620,25,85,247,292,62,620,13,25,52.0,57,32,408,76,Matches
163,164,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,23.4,1388,162,682,645,71,14,1388,6,7,85.7,11,1,818,6,Matches
164,165,Adri Embarba,es ESP,"FW,MF",Espanyol,29,1992,22.1,1068,35,191,357,536,45,1068,41,80,51.3,56,38,622,80,Matches
165,166,Emerson,br BRA,DF,Barcelona,22,1999,1.0,77,1,17,47,13,0,77,0,1,0.0,0,0,54,3,Matches
166,167,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,14.2,328,22,48,144,139,58,327,4,14,28.6,25,12,210,57,Matches
167,168,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,14.4,579,37,138,333,114,24,579,7,9,77.8,14,14,255,14,Matches
168,169,Aarón Escandell,es ESP,GK,Granada,25,1995,3.2,137,115,137,0,0,0,137,0,0,,0,0,34,0,Matches
169,170,Sergio Escudero,es ESP,"DF,MF",Granada,31,1989,15.9,930,48,283,441,211,14,930,3,12,25.0,19,10,409,22,Matches
170,171,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37.0,2181,147,770,927,528,46,2181,24,47,51.1,43,21,961,79,Matches
