,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
93,94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34.0,938,1205,77.8,23204,16482,246,248,99.2,433,440,98.4,253,506,50.0,0,0.0,0.0,0.0,1,4,0,0,0,Matches
94,95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,2.8,83,122,68.0,1402,591,43,51,84.3,32,53,60.4,7,13,53.8,0,0.1,0.1,-0.1,1,3,2,2,5,Matches
95,96,Alex Bono,us USA,GK,Toronto FC,27,1994,24.0,588,871,67.5,14855,10998,149,152,98.0,265,272,97.4,165,436,37.8,0,0.0,0.0,0.0,1,8,0,0,1,Matches
96,97,Jonathan Bornstein,us USA,"DF,MF",Chicago Fire,37,1984,13.3,408,517,78.9,6133,2530,247,284,87.0,132,166,79.5,21,34,61.8,0,0.6,1.0,-0.6,9,26,6,3,20,Matches
97,98,Dylan Borrero,co COL,FW,New England,20,2002,6.7,138,191,72.3,2295,682,77,90,85.6,43,56,76.8,16,33,48.5,1,0.9,0.9,+0.1,6,10,9,4,15,Matches
98,99,Gustavo Bou,ar ARG,FW,New England,31,1990,17.8,333,490,68.0,6241,1357,152,194,78.4,119,165,72.1,53,86,61.6,2,1.7,2.0,+0.3,23,31,23,4,32,Matches
99,100,Denis Bouanga,ga GAB,FW,Los Angeles FC,27,1994,5.5,124,176,70.5,1924,455,72,93,77.4,33,51,64.7,14,20,70.0,0,1.2,0.6,-1.2,10,10,7,2,10,Matches
100,101,Ousseni Bouda,bf BFA,"FW,MF",San Jose,21,2000,1.3,37,50,74.0,613,144,21,23,91.3,12,14,85.7,3,6,50.0,0,0.1,0.1,-0.1,2,3,3,1,4,Matches
101,102,Michael Boxall,nz NZL,DF,Minnesota Utd,33,1988,31.0,988,1159,85.2,19262,7314,334,372,89.8,525,583,90.1,117,175,66.9,0,0.5,0.6,-0.5,3,68,0,0,57,Matches
102,103,Michael Bradley,us USA,MF,Toronto FC,34,1987,33.9,1768,2067,85.5,30286,11161,827,913,90.6,756,845,89.5,149,239,62.3,3,1.8,3.6,+1.2,26,201,34,1,200,Matches
103,104,Christopher Brady,us USA,GK,Chicago Fire,17,2004,1.0,21,35,60.0,535,328,4,5,80.0,11,12,91.7,6,18,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
104,105,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23,1998,7.0,302,383,78.9,4798,1334,166,182,91.2,107,137,78.1,22,37,59.5,2,1.6,1.5,+0.4,14,20,20,12,20,Matches
105,106,Claudio Bravo,ar ARG,DF,Portland Timbers,24,1997,24.5,1078,1426,75.6,18918,8033,500,575,87.0,429,531,80.8,120,241,49.8,2,2.1,2.3,-0.1,21,145,21,9,121,Matches
