,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
359,360,Dion Lopy,sn SEN,MF,Reims,19,2002,18.2,824,37,224,478,143,17,824,18,30,60.0,38,27,529,29,Matches
360,361,Samuel Loric,fr FRA,DF,Lorient,21,2000,3.0,170,9,49,65,57,2,170,3,11,27.3,5,1,82,11,Matches
361,362,Jordan Lotomba,ch SUI,DF,Nice,22,1998,19.8,1168,50,315,535,335,25,1168,22,41,53.7,30,17,718,41,Matches
362,363,Johaneko Louisjean,fr FRA,DF,Bordeaux,17,2004,0.1,9,1,3,5,1,1,9,0,0,,1,1,7,2,Matches
363,364,Jean Lucas,br BRA,MF,Monaco,23,1998,16.1,1010,12,141,551,333,34,1010,28,43,65.1,45,24,703,53,Matches
364,365,Castello Lukeba,fr FRA,DF,Lyon,18,2002,23.3,1875,147,872,983,35,12,1875,13,14,92.9,16,6,1342,1,Matches
365,366,Levi Lumeka,eng ENG,"MF,FW",Troyes,22,1998,0.7,23,2,9,5,11,2,23,2,3,66.7,4,1,18,3,Matches
366,367,Yannis M'Bemba,fr FRA,"DF,FW",Nantes,20,2001,0.1,8,1,3,2,3,2,8,0,0,,1,0,5,0,Matches
367,368,Deiver Machado,co COL,"DF,MF",Lens,27,1993,5.8,325,17,86,137,105,10,325,8,16,50.0,12,9,183,16,Matches
368,369,Yvann Macon,fr FRA,DF,Saint-Étienne,22,1998,17.0,1180,40,330,589,280,9,1180,19,49,38.8,40,13,683,36,Matches
369,370,Louis Mafouta,cf CTA,FW,Metz,27,1994,5.8,189,5,18,107,65,13,189,2,4,50.0,23,6,151,33,Matches
370,371,Hugo Magnetti,fr FRA,MF,Brest,23,1998,16.3,858,29,205,525,143,11,858,14,25,56.0,26,14,501,10,Matches
371,372,Yohann Magnin,fr FRA,"MF,DF",Clermont Foot,24,1997,19.1,1118,57,347,602,178,31,1118,8,15,53.3,27,14,753,35,Matches
372,373,Habib Maïga,ci CIV,MF,Metz,25,1996,14.1,728,34,189,408,140,13,728,13,16,81.3,19,20,436,19,Matches
373,374,Josh Maja,ng NGA,FW,Bordeaux,22,1998,0.1,8,0,0,4,4,1,8,0,0,,3,0,4,1,Matches
374,375,Abdul Majeed Waris,gh GHA,"FW,MF",Strasbourg,29,1991,3.6,169,1,16,69,88,15,169,12,18,66.7,10,4,140,25,Matches
375,376,Lovro Majer,hr CRO,"MF,FW",Rennes,23,1998,20.4,1286,16,144,616,553,62,1286,29,56,51.8,47,27,927,103,Matches
376,377,Béni Makouana,cg CGO,"FW,MF",Montpellier,18,2002,3.6,123,4,15,45,63,16,123,2,6,33.3,15,7,88,23,Matches
377,378,Hianga Mananga Mbock,fr FRA,MF,Brest,21,1999,8.9,341,8,67,218,59,6,341,10,14,71.4,6,9,218,14,Matches
378,379,Vincent Manceau,fr FRA,DF,Angers,32,1989,26.2,1809,132,911,845,66,3,1809,3,4,75.0,12,6,1286,9,Matches
379,380,Steve Mandanda,fr FRA,GK,Marseille,36,1985,9.0,417,255,413,4,0,0,417,0,0,,0,0,244,0,Matches
380,381,Reinildo Mandava,mz MOZ,DF,Lille,27,1994,16.9,1146,65,367,582,209,17,1146,14,27,51.9,16,9,662,41,Matches
381,382,Anthony Mandrea,dz ALG,GK,Angers,24,1996,10.0,305,275,304,1,0,0,305,0,0,,0,0,83,0,Matches
382,383,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,30,1991,13.1,719,90,355,351,14,6,719,4,4,100.0,10,3,441,1,Matches
383,384,Thomas Mangani,fr FRA,MF,Angers,34,1987,24.4,1713,62,410,1022,299,18,1707,4,8,50.0,21,13,1051,26,Matches
384,385,Ricardo Mangas,pt POR,DF,Bordeaux,23,1998,26.1,1287,85,459,534,313,43,1287,21,43,48.8,34,13,713,64,Matches
385,386,Myziane Maolida,fr FRA,MF,Nice,22,1999,0.4,13,0,2,7,4,1,13,2,3,66.7,1,0,6,1,Matches
386,387,Sekou Mara,fr FRA,"FW,MF",Bordeaux,19,2002,10.1,334,6,24,163,152,45,333,10,31,32.3,35,16,227,43,Matches
387,388,Marcelo,br BRA,DF,Bordeaux,34,1987,10.0,769,91,402,356,15,11,769,2,2,100.0,8,1,525,1,Matches
388,389,Marcelo,br BRA,DF,Lyon,34,1987,2.0,195,17,69,122,4,4,195,1,1,100.0,0,1,134,1,Matches
389,390,Guillermo Maripán,cl CHI,DF,Monaco,27,1994,20.4,1537,153,753,751,41,17,1537,4,5,80.0,10,1,1082,1,Matches
390,391,Marquinhos,br BRA,DF,Paris S-G,27,1994,31.8,2661,343,1133,1408,131,33,2661,4,6,66.7,10,4,2045,6,Matches
391,392,Jonas Martin,fr FRA,MF,Rennes,31,1990,23.4,1868,56,371,1317,190,21,1868,8,11,72.7,18,10,1382,14,Matches
392,393,Gelson Martins,pt POR,"MF,FW",Monaco,26,1995,21.2,962,12,91,391,499,96,962,62,113,54.9,77,23,671,140,Matches
393,394,Pape Matar Sarr,sn SEN,MF,Metz,18,2002,23.7,1291,39,279,792,250,14,1291,30,55,54.5,46,25,849,39,Matches
394,395,Eliot Matazo,be BEL,MF,Monaco,19,2002,8.8,480,14,77,337,70,5,480,9,17,52.9,13,5,322,10,Matches
395,396,Chrislain Matsima,fr FRA,DF,Monaco,19,2002,1.5,104,16,51,49,4,1,104,0,0,,2,1,61,0,Matches
396,397,Azor Matusiwa,nl NED,MF,Reims,23,1998,27.4,1471,75,470,867,152,5,1471,14,17,82.4,27,9,852,14,Matches
397,398,Stephy Mavididi,eng ENG,"FW,MF",Montpellier,23,1998,25.5,885,17,108,390,405,87,885,40,96,41.7,77,61,689,155,Matches
398,399,Derek Mazou-Sacko,fr FRA,"FW,DF",Troyes,16,2004,0.0,3,1,1,0,2,0,3,0,0,,0,0,1,0,Matches
