,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
103,104,Christopher Brady,us USA,GK,Chicago Fire,17,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,105,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23,1998,7.0,4,6,4,66.7,0.86,0.57,0.67,1.00,14.5,0,0,0,1.2,1.2,0.20,+2.8,+2.8,Matches
105,106,Claudio Bravo,ar ARG,DF,Portland Timbers,24,1997,24.5,0,24,2,8.3,0.98,0.08,0.00,0.00,23.5,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
106,107,Brenner,br BRA,FW,FC Cincinnati,22,2000,22.8,18,76,33,43.4,3.33,1.44,0.22,0.52,14.4,0,1,1,12.4,11.6,0.15,+5.6,+5.4,Matches
107,108,Sebastian Breza,ca CAN,GK,CF Montréal,23,1998,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,109,Emiliano Brienza,ca CAN,FW,Vancouver,19,2002,0.0,0,1,0,0.0,30.00,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
109,110,Andrew Brody,us USA,DF,Real Salt Lake,26,1995,32.8,2,15,8,53.3,0.46,0.24,0.13,0.25,14.9,0,0,0,1.4,1.4,0.09,+0.6,+0.6,Matches
110,111,Brandt Bronico,us USA,MF,Charlotte,26,1995,31.2,1,22,8,36.4,0.70,0.26,0.05,0.13,19.2,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
111,112,Javain Brown,jm JAM,DF,Vancouver,22,1999,20.6,1,10,2,20.0,0.48,0.10,0.10,0.50,16.6,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
112,113,Gastón Brugman,uy URU,MF,LA Galaxy,29,1992,12.5,3,15,7,46.7,1.20,0.56,0.20,0.43,25.9,1,0,0,0.9,0.9,0.06,+2.1,+2.1,Matches
113,114,Will Bruin,us USA,FW,Seattle,32,1989,9.6,3,20,5,25.0,2.07,0.52,0.15,0.60,10.7,0,0,0,2.8,2.8,0.14,+0.2,+0.2,Matches
114,115,Noel Buck,us USA,"MF,FW",New England,16,2005,3.2,1,6,3,50.0,1.85,0.92,0.17,0.33,20.7,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
