,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
73,74,Iker Bravo,es ESP,FW,Leverkusen,16,2005,1,12,12,0.4,0.1,0,,0,1,12,1,1.00,1,0,+1,+7.50,+6.56,0.6,0.1,+0.5,+3.54,+3.00,Matches
74,75,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,360,90,11.8,4.0,4,90,4,0,,26,0.50,3,7,-4,-1.00,-0.53,3.1,8.0,-4.9,-1.21,-0.97,Matches
75,76,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,1,21,21,0.7,0.2,0,,0,1,21,1,3.00,2,0,+2,+8.57,+8.96,0.8,0.2,+0.6,+2.49,+2.55,Matches
76,77,Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,9,131,15,4.3,1.5,1,42,0,8,11,5,0.78,4,3,+1,+0.69,-0.36,2.7,3.5,-0.8,-0.53,-1.34,Matches
77,78,John Brooks,us USA,DF,Wolfsburg,28,1993,31,2615,84,85.5,29.1,29,88,24,2,32,3,1.32,38,44,-6,-0.21,+0.80,43.2,45.2,-2.0,-0.07,-0.19,Matches
78,79,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,11,390,35,12.7,4.3,4,81,2,7,9,21,0.91,6,10,-4,-0.92,-1.23,6.2,8.9,-2.7,-0.62,-0.99,Matches
79,80,Cédric Brunner,ch SUI,DF,Arminia,27,1994,27,2183,81,71.3,24.3,26,84,19,1,11,0,1.00,20,30,-10,-0.41,+1.23,24.5,46.7,-22.2,-0.92,+0.71,Matches
80,81,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,25,812,32,26.5,9.0,9,66,1,16,14,2,1.04,14,19,-5,-0.55,-0.67,14.6,17.8,-3.2,-0.35,-0.67,Matches
81,82,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14,1260,90,41.2,14.0,14,90,14,0,,17,0.71,11,28,-17,-1.21,+0.64,13.7,25.2,-11.5,-0.82,+0.29,Matches
82,83,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,3,27,9,0.9,0.3,0,,0,3,9,1,2.00,3,0,+3,+10.00,+9.94,0.6,0.4,+0.3,+0.96,+0.72,Matches
83,84,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,34,2611,77,85.3,29.0,32,80,9,2,34,0,1.35,41,39,+2,+0.07,-0.53,49.4,42.0,+7.4,+0.25,+0.08,Matches
84,85,Nishan Burkart,ch SUI,FW,Freiburg,21,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
