,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
157,158,Sebastian Griesbeck,de GER,"DF,MF",Greuther Fürth,30,1990,27.1,60,31,38,19,3,39,62,62.9,23,38,13,25,43,103,100,1,Matches
158,159,Sebastian Griesbeck,de GER,MF,Union Berlin,30,1990,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
159,160,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,28,1993,30.8,27,15,9,13,5,9,26,34.6,17,12,2,10,13,40,28,0,Matches
160,161,Lennart Grill,de GER,GK,Leverkusen,22,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
161,162,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,25,1995,16.6,37,19,15,21,1,17,31,54.8,14,18,7,11,29,66,36,1,Matches
162,163,Carlos Gruezo,ec ECU,MF,Augsburg,26,1995,10.8,22,11,10,10,2,8,21,38.1,13,11,2,9,9,31,15,0,Matches
163,164,Raphaël Guerreiro,pt POR,DF,Dortmund,27,1993,19.9,35,19,19,12,4,16,31,51.6,15,18,2,16,25,60,14,1,Matches
164,165,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30,1990,10.5,23,14,13,9,1,7,18,38.9,11,11,6,5,25,48,42,0,Matches
165,166,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,1,Matches
166,167,Manuel Gulde,de GER,DF,Freiburg,30,1991,13.6,18,10,14,3,1,8,11,72.7,3,16,8,8,17,35,37,0,Matches
167,168,Robert Gumny,pl POL,DF,Augsburg,23,1998,25.2,48,29,25,20,3,25,43,58.1,18,24,7,17,28,76,57,3,Matches
168,169,Christian Günter,de GER,"DF,MF",Freiburg,28,1993,34.0,34,20,16,15,3,18,50,36.0,32,23,6,17,17,51,49,2,Matches
169,170,Lasse Günther,de GER,DF,Augsburg,18,2003,1.8,8,5,4,3,1,5,9,55.6,4,0,0,0,2,10,2,0,Matches
170,171,Joško Gvardiol,hr CRO,DF,RB Leipzig,19,2002,26.8,47,31,28,17,2,22,39,56.4,17,30,11,19,51,98,62,2,Matches
171,172,Erling Haaland,no NOR,FW,Dortmund,21,2000,21.2,2,1,0,1,1,0,1,0.0,1,8,1,7,1,3,31,0,Matches
172,173,Janik Haberer,de GER,MF,Freiburg,27,1994,9.1,14,8,5,6,3,7,19,36.8,12,11,4,7,16,30,11,0,Matches
173,174,Alexander Hack,de GER,DF,Mainz 05,27,1993,23.0,52,26,35,17,0,29,46,63.0,17,31,14,17,51,103,95,1,Matches
