,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
40,41,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,27,1994,8.8,551,442,107,7,0,3,47,81,19,0,15,1,437,2,10,Matches
41,42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,742,646,94,10,0,2,27,84,0,0,0,0,623,2,12,Matches
42,43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,20.8,556,526,24,6,2,12,79,8,4,2,1,0,307,6,21,Matches
43,44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,779,760,17,16,0,6,5,1,0,0,0,0,617,2,19,Matches
44,45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,99,92,7,0,1,0,4,2,0,0,0,0,62,0,3,Matches
45,46,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,830,542,286,76,0,0,0,0,0,0,0,0,565,2,0,Matches
46,47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0.0,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
47,48,Alejandro Balde,es ESP,"DF,FW",Barcelona,17,2003,2.1,150,143,7,2,0,0,6,5,0,0,0,0,138,0,2,Matches
48,49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,65,62,0,0,0,1,3,0,0,0,0,0,45,3,2,Matches
49,50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,1013,794,217,20,0,5,51,197,0,0,0,0,765,2,23,Matches
50,51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,1796,1331,460,33,1,7,111,426,1,1,0,0,1350,5,48,Matches
51,52,Barbero,es ESP,"FW,MF",Osasuna,22,1998,0.2,11,10,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
52,53,Barcia,es ESP,DF,Granada,20,2000,0.8,22,22,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
53,54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,749,639,103,32,9,15,87,15,52,17,21,0,529,7,19,Matches
54,55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,886,845,36,34,2,15,7,2,0,0,0,0,761,5,12,Matches
