,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
149,150,Benny Díaz,mx MEX,GK,Tijuana,22,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,100.0,Matches
150,151,Nicolás Díaz Huincales,cl CHI,DF,Mazatlán,22,1999,24.6,10,1,0,42,28,2,36,31,30,0,2,0,133,44,23,65.7,Matches
151,152,Jair Díaz,mx MEX,DF,Atlético,22,1998,21.6,7,0,0,47,18,0,20,33,44,1,0,0,86,18,30,37.5,Matches
152,153,Jonathan Díaz,mx MEX,DF,Santos,22,1999,1.6,0,0,0,1,2,0,4,1,2,0,0,0,5,3,6,33.3,Matches
153,154,Ricardo Díaz,mx MEX,GK,Querétaro,25,1995,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
154,155,Diego,br BRA,"DF,MF",Toluca,33,1988,11.3,4,1,0,14,26,1,28,24,11,1,1,0,57,23,15,60.5,Matches
155,156,Diogo,br BRA,"FW,MF",UNAM,24,1996,13.2,7,1,1,32,27,4,15,8,14,0,0,0,46,41,35,53.9,Matches
156,157,José Doldán,py PAR,DF,Querétaro,24,1997,7.5,3,1,0,14,8,1,1,14,5,0,0,0,33,23,20,53.5,Matches
157,158,Idekel Domínguez,mx MEX,DF,Necaxa,21,2000,14.7,5,0,0,22,20,1,15,25,25,1,1,0,71,11,20,35.5,Matches
158,159,Julio Domínguez,mx MEX,DF,Cruz Azul,33,1987,27.8,3,0,0,17,19,0,2,31,12,0,1,0,129,39,45,46.4,Matches
159,160,Misael Domínguez,mx MEX,"MF,FW",Tijuana,21,1999,6.8,1,0,0,7,15,0,13,0,4,0,0,0,39,3,6,33.3,Matches
160,161,Dória,br BRA,DF,Santos,26,1994,31.0,7,1,0,24,15,7,0,42,16,0,2,0,143,69,45,60.5,Matches
161,162,Jonathan dos Santos,mx MEX,MF,América,31,1990,2.3,3,1,1,9,2,0,4,5,5,0,0,0,13,9,0,100.0,Matches
162,163,Jesús Dueñas,mx MEX,"DF,MF",UANL,32,1989,14.3,3,0,0,15,4,0,32,14,8,0,0,0,67,9,10,47.4,Matches
163,164,Jhon Duque Arias,co COL,"MF,FW",Atlético,29,1992,2.8,2,0,0,10,8,0,4,5,6,0,0,0,23,3,4,42.9,Matches
164,165,Jonathan David dos Santos Duré,uy URU,FW,Querétaro,29,1992,11.1,0,2,0,18,27,7,2,0,6,1,0,0,29,33,63,34.4,Matches
165,166,Jorge Eduardo Sánchez,mx MEX,DF,América,23,1997,21.6,2,0,0,32,12,1,66,19,36,0,0,0,110,20,21,48.8,Matches
166,167,Francisco Eduardo Venegas,mx MEX,DF,UANL,23,1998,1.9,0,0,0,2,2,0,3,6,0,0,0,0,12,3,1,75.0,Matches
167,168,Jesús Eduardo Zavala,mx MEX,"DF,MF",Mazatlán,34,1987,5.0,2,0,0,7,5,0,0,9,3,0,1,0,17,20,13,60.6,Matches
168,169,Alfonso Emilio Sánchez,mx MEX,MF,Mazatlán,27,1994,12.4,2,0,0,20,15,1,12,11,19,0,0,0,59,12,22,35.3,Matches
169,170,José Enrique Angulo,ec ECU,FW,Querétaro,26,1995,10.6,1,0,0,10,15,1,7,1,3,1,0,0,13,17,27,38.6,Matches
170,171,Luis Enrique Quiñones,co COL,"MF,FW",UANL,30,1991,24.2,6,0,0,39,23,14,164,11,28,0,1,0,118,12,29,29.3,Matches
171,172,Carlos Ernesto Cisneros,mx MEX,"DF,MF",Guadalajara,27,1993,16.4,6,1,0,31,23,3,81,24,14,0,0,0,85,24,25,49.0,Matches
172,173,Kevin Escamilla,mx MEX,MF,Querétaro,27,1994,22.7,6,0,0,16,30,1,3,25,19,0,0,0,134,32,26,55.2,Matches
173,174,Juan Escobar,py PAR,DF,Cruz Azul,26,1995,23.7,15,1,1,39,29,2,51,23,26,0,0,0,90,58,49,54.2,Matches
174,175,Alonso Escoboza,mx MEX,"MF,DF",Necaxa,28,1993,18.9,6,0,0,14,14,1,109,14,13,0,0,0,72,15,22,40.5,Matches
175,176,Amaury Escoto,mx MEX,"FW,MF",Puebla,28,1992,4.3,2,0,0,12,7,2,7,0,2,0,1,0,21,17,17,50.0,Matches
