,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
574,575,Jack Robinson,eng ENG,DF,Sheffield Utd,27,1993,26.2,1769,137,737,825,224,23,1769,2,4,50.0,12,4,989,11,Matches
575,576,Ethan Robson,eng ENG,MF,Blackpool,24,1996,2.0,107,2,28,65,17,1,107,0,0,,3,0,52,2,Matches
576,577,Marek Rodák,sk SVK,GK,Fulham,24,1996,33.0,952,876,950,2,0,0,952,0,0,,0,0,446,0,Matches
577,578,Joe Rodwell-Grant,eng ENG,"FW,MF",Preston,18,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
578,579,Morgan Rogers,eng ENG,"MF,FW",Bournemouth,19,2002,2.6,187,4,20,69,103,18,187,11,25,44.0,14,11,118,20,Matches
579,580,Mahlon Romeo,ag ATG,DF,Millwall,25,1995,1.5,96,6,35,35,27,2,96,0,0,,1,1,40,1,Matches
580,581,Kelle Roos,nl NED,GK,Derby County,29,1992,16.8,837,672,827,11,0,0,837,1,1,100.0,1,0,478,0,Matches
581,582,Michael Rose,sct SCO,DF,Coventry City,25,1995,24.7,1692,167,915,712,73,28,1692,0,1,0.0,13,3,1081,7,Matches
582,583,Joe Rothwell,eng ENG,MF,Blackburn,26,1995,35.0,1808,31,276,1045,530,50,1808,52,75,69.3,41,22,1083,41,Matches
583,584,Aaron Rowe,eng ENG,DF,Huddersfield,20,2000,0.1,6,0,1,4,1,0,6,0,0,,0,0,3,1,Matches
584,585,Declan Rudd,eng ENG,GK,Preston,30,1991,0.1,1,0,1,0,0,0,1,0,0,,0,0,0,0,Matches
585,586,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,28,1993,31.1,1328,65,308,679,359,28,1328,15,43,34.9,79,36,680,45,Matches
586,587,Josh Ruffels,eng ENG,"DF,MF",Huddersfield,27,1993,2.0,199,6,41,107,51,9,199,0,2,0.0,1,3,128,6,Matches
587,588,Jonathan Russell,jm JAM,MF,Huddersfield,20,2000,15.3,819,38,198,521,107,16,819,11,16,68.8,14,11,563,13,Matches
588,589,Brice Samba,cg CGO,GK,Nott'ham Forest,27,1994,39.9,1858,1389,1832,30,1,1,1858,0,0,,1,0,938,0,Matches
589,590,Iván Sánchez,es ESP,"FW,MF",Birmingham City,28,1992,0.3,26,0,0,9,17,2,26,0,0,,0,1,20,0,Matches
590,591,Dion Sanderson,eng ENG,DF,QPR,21,1999,9.2,529,45,284,212,36,3,529,3,5,60.0,4,8,340,1,Matches
591,592,Dion Sanderson,eng ENG,DF,Birmingham City,21,1999,14.0,552,70,259,267,34,6,552,3,6,50.0,9,2,230,3,Matches
592,593,Thomas Sang,eng ENG,"DF,MF",Cardiff City,22,1999,2.5,98,10,41,33,26,2,98,1,3,33.3,2,4,35,0,Matches
593,594,Matija Šarkić,me MNE,GK,Birmingham City,24,1997,23.0,834,613,814,21,0,0,834,0,0,,1,0,250,0,Matches
594,595,Mouhamadou-Naby Sarr,fr FRA,DF,Huddersfield,27,1993,14.0,776,139,449,311,26,12,776,1,1,100.0,6,3,473,0,Matches
