,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
113,114,Christian Castillo,cl CHI,"FW,MF",Tijuana,24,1996,1.8,3,1.64,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
114,115,Erick Castillo,ec ECU,"FW,MF",Tijuana,26,1995,6.6,17,2.57,8,0,4,1,4,0,0,0.00,0,0,0,0,0,0,Matches
115,116,Fabián Castillo,co COL,"MF,FW",FC Juárez,29,1992,17.2,48,2.79,39,1,6,0,2,0,3,0.17,2,1,0,0,0,0,Matches
116,117,Nicolás Castillo,cl CHI,FW,Necaxa,28,1993,0.6,1,1.61,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
117,118,José Castillo Pérez,mx MEX,"DF,MF",Pachuca,19,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,119,Raúl Castillo,mx MEX,"DF,MF",Puebla,19,2001,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,120,Matías Catalán,ar ARG,"DF,FW",Pachuca,28,1992,7.9,21,2.66,15,3,1,1,0,1,1,0.13,0,0,0,1,0,0,Matches
120,121,Alan Cervantes,mx MEX,MF,Santos,23,1998,23.1,41,1.77,33,4,0,0,3,1,2,0.09,1,1,0,0,0,0,Matches
121,122,Daniel Cervantes,mx MEX,DF,Querétaro,31,1990,12.7,6,0.47,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
122,123,Pablo César Aguilar,py PAR,DF,Cruz Azul,34,1987,28.1,13,0.46,9,0,0,2,1,1,2,0.07,2,0,0,0,0,0,Matches
123,124,Pablo César López,mx MEX,"MF,DF",Pachuca,23,1998,0.8,2,2.43,2,0,0,0,0,0,1,1.22,1,0,0,0,0,0,Matches
124,125,Aníbal Chalá,ec ECU,"DF,MF",Atlas,25,1996,4.5,13,2.86,10,0,1,0,1,1,1,0.22,1,0,0,0,0,0,Matches
125,126,Diego Chávez Collins,mx MEX,"FW,MF",Toluca,26,1995,4.5,6,1.60,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
126,127,Luis Chávez,mx MEX,MF,Pachuca,25,1996,25.0,89,3.57,51,20,7,6,1,4,6,0.24,5,1,0,0,0,0,Matches
127,128,Ricardo Chávez Soto,mx MEX,DF,Atlético,26,1994,28.2,63,2.23,42,16,1,1,2,1,6,0.21,4,0,1,0,1,0,Matches
128,129,Jesús Chiquete,mx MEX,DF,Guadalajara,19,2002,5.4,2,0.37,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
129,130,Ronaldo Cisneros,mx MEX,FW,Guadalajara,24,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,131,Léo Coelho,br BRA,DF,Atlético,28,1993,7.1,7,0.98,4,0,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
131,132,Santiago Colombatto,ar ARG,MF,León,24,1997,21.6,38,1.76,30,1,1,2,2,2,2,0.09,2,0,0,0,0,0,Matches
132,133,Bryan Colula,mx MEX,"DF,FW",Mazatlán,25,1996,19.1,26,1.32,16,3,1,2,4,0,3,0.15,1,0,0,1,1,0,Matches
133,134,Francisco Contreras,mx MEX,"DF,MF",FC Juárez,22,1999,5.8,13,2.25,9,2,0,0,2,0,1,0.17,0,1,0,0,0,0,Matches
134,135,José Corona,mx MEX,GK,Cruz Azul,40,1981,17.0,3,0.18,2,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
135,136,Washington Corozo,ec ECU,"FW,MF",UNAM,23,1998,13.9,34,2.44,24,0,4,4,2,0,6,0.43,2,0,2,1,1,0,Matches
136,137,George Corral,mx MEX,"MF,DF",Puebla,31,1990,18.9,60,3.18,40,15,1,3,0,1,7,0.37,5,2,0,0,0,0,Matches
137,138,Jordi Cortizo,mx MEX,"MF,FW",Puebla,25,1996,8.1,36,4.46,29,0,3,1,3,0,2,0.25,1,0,0,0,1,0,Matches
138,139,Jordi Cortizo,mx MEX,"FW,MF",Tijuana,25,1996,4.3,21,4.87,11,1,5,3,1,0,2,0.46,0,0,1,0,1,0,Matches
139,140,Rodolfo Cota,mx MEX,GK,León,34,1987,31.0,4,0.13,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,141,Aldo Cruz,mx MEX,"DF,MF",UANL,23,1997,1.9,3,1.61,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
141,142,Alessio da Cruz,cv CPV,"FW,MF",Santos,24,1997,6.3,22,3.50,12,1,4,0,4,1,3,0.48,3,0,0,0,0,0,Matches
142,143,Jorge Daniel Hernández,mx MEX,MF,Pachuca,32,1989,8.6,13,1.51,11,0,0,0,0,2,1,0.12,1,0,0,0,0,0,Matches
143,144,Jorge Daniel Hernández,mx MEX,MF,Querétaro,32,1989,14.3,25,1.88,22,0,1,1,1,0,1,0.08,1,0,0,0,0,0,Matches
144,145,Juan David Castro,mx MEX,"MF,DF",Atlético,29,1991,7.4,18,2.43,8,5,2,0,2,1,2,0.27,1,1,0,0,0,0,Matches
145,146,José David Ramírez,mx MEX,DF,León,25,1995,19.5,33,1.69,28,1,1,1,0,2,0,0.00,0,0,0,0,0,0,Matches
146,147,Víctor Dávila,cl CHI,"FW,MF",León,23,1997,25.1,66,2.63,48,1,5,6,6,0,8,0.32,4,0,2,1,1,0,Matches
147,148,Diego De Buen,mx MEX,"DF,MF",Puebla,30,1991,22.8,43,1.88,27,7,0,6,0,3,1,0.04,0,0,0,0,0,1,Matches
148,149,Everardo Del Villar,,,Toluca,16,2005,0.6,,,,,,,,,,,,,,,,,Matches
149,150,Benny Díaz,mx MEX,GK,Tijuana,22,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,151,Nicolás Díaz Huincales,cl CHI,DF,Mazatlán,22,1999,24.6,21,0.85,18,1,0,0,0,2,3,0.12,3,0,0,0,0,0,Matches
151,152,Jair Díaz,mx MEX,DF,Atlético,22,1998,21.6,22,1.02,16,2,0,1,2,1,5,0.23,3,1,0,0,1,0,Matches
152,153,Jonathan Díaz,mx MEX,DF,Santos,22,1999,1.6,1,0.61,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
153,154,Ricardo Díaz,mx MEX,GK,Querétaro,25,1995,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
154,155,Diego,br BRA,"DF,MF",Toluca,33,1988,11.3,26,2.31,13,3,0,2,8,0,3,0.27,1,0,0,0,2,0,Matches
155,156,Diogo,br BRA,"FW,MF",UNAM,24,1996,13.2,42,3.19,30,1,3,3,5,0,5,0.38,4,0,0,0,1,0,Matches
156,157,José Doldán,py PAR,DF,Querétaro,24,1997,7.5,7,0.93,6,0,0,0,1,0,1,0.13,1,0,0,0,0,0,Matches
157,158,Idekel Domínguez,mx MEX,DF,Necaxa,21,2000,14.7,19,1.29,10,2,1,1,4,1,1,0.07,0,0,0,0,1,0,Matches
158,159,Julio Domínguez,mx MEX,DF,Cruz Azul,33,1987,27.8,10,0.36,6,1,1,1,1,0,1,0.04,0,0,0,1,0,0,Matches
159,160,Misael Domínguez,mx MEX,"MF,FW",Tijuana,21,1999,6.8,25,3.66,22,0,2,0,1,0,1,0.15,1,0,0,0,0,0,Matches
160,161,Dória,br BRA,DF,Santos,26,1994,31.0,20,0.65,12,4,0,3,0,1,1,0.03,1,0,0,0,0,0,Matches
161,162,Jonathan dos Santos,mx MEX,MF,América,31,1990,2.3,7,3.10,6,1,0,0,0,0,2,0.89,1,1,0,0,0,0,Matches
162,163,Jesús Dueñas,mx MEX,"DF,MF",UANL,32,1989,14.3,28,1.96,23,1,0,3,1,0,6,0.42,4,0,0,2,0,0,Matches
163,164,Jhon Duque Arias,co COL,"MF,FW",Atlético,29,1992,2.8,7,2.53,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
164,165,Jonathan David dos Santos Duré,uy URU,FW,Querétaro,29,1992,11.1,24,2.16,15,0,0,3,6,0,2,0.18,1,0,0,0,1,0,Matches
165,166,Jorge Eduardo Sánchez,mx MEX,DF,América,23,1997,21.6,44,2.04,34,5,2,0,1,2,5,0.23,4,0,0,0,0,1,Matches
166,167,Francisco Eduardo Venegas,mx MEX,DF,UANL,23,1998,1.9,3,1.56,2,1,0,0,0,0,2,1.04,1,1,0,0,0,0,Matches
167,168,Jesús Eduardo Zavala,mx MEX,"DF,MF",Mazatlán,34,1987,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
168,169,Alfonso Emilio Sánchez,mx MEX,MF,Mazatlán,27,1994,12.4,19,1.53,16,0,0,1,2,0,1,0.08,0,0,0,0,1,0,Matches
169,170,José Enrique Angulo,ec ECU,FW,Querétaro,26,1995,10.6,19,1.97,8,1,6,1,3,0,5,0.52,1,0,2,1,1,0,Matches
170,171,Luis Enrique Quiñones,co COL,"MF,FW",UANL,30,1991,24.2,113,4.67,92,7,7,4,1,2,12,0.50,10,0,1,1,0,0,Matches
