,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
155,156,Tiago Dantas,pt POR,MF,Tondela,20,2000,12.2,646,16,166,363,121,14,646,4,12,33.3,7,4,473,27,Matches
156,157,Or Dasa,il ISR,"MF,FW",Arouca,22,1998,0.6,32,0,4,16,12,1,32,1,1,100.0,1,3,28,2,Matches
157,158,Hernán De La Fuente,ar ARG,"DF,MF",Famalicão,24,1997,10.3,556,22,149,236,181,21,556,9,24,37.5,28,10,279,39,Matches
158,159,Juan Delgado,cl CHI,"DF,FW",Paços,28,1993,21.9,1112,32,263,553,319,29,1112,17,38,44.7,48,34,729,53,Matches
159,160,Denílson,br BRA,FW,Paços,26,1995,20.1,575,24,46,268,267,71,573,17,34,50.0,69,28,435,99,Matches
160,161,Jordan van der Gaag,nl NED,"MF,FW",B-SAD,22,1999,2.0,62,1,12,29,21,4,62,4,9,44.4,6,2,42,12,Matches
161,162,Lamine Diaby,fr FRA,"MF,FW",Paços,24,1996,2.5,164,14,50,99,17,7,164,4,7,57.1,5,4,94,2,Matches
162,163,Luis Díaz,co COL,"MF,FW",Porto,24,1997,16.6,875,8,35,330,523,143,874,46,73,63.0,41,19,659,141,Matches
163,164,Marcelo Djaló,gw GNB,DF,Boavista,27,1993,0.6,24,4,15,8,1,1,24,0,0,,0,0,12,0,Matches
164,165,Matchoi Djaló,pt POR,"MF,FW",Paços,18,2003,7.9,301,4,28,157,122,18,301,13,24,54.2,18,14,214,23,Matches
165,166,Ivan Dolček,hr CRO,"DF,MF",Famalicão,21,2000,2.2,106,5,24,51,35,5,106,4,7,57.1,3,9,51,5,Matches
166,167,Bruno Duarte,br BRA,"FW,MF",Vitória,25,1996,11.2,339,16,27,156,158,46,338,6,8,75.0,25,9,249,65,Matches
167,168,Rodrigo Duarte,pt POR,FW,Sporting CP,16,2005,0.5,17,0,0,9,8,5,17,2,2,100.0,3,1,15,4,Matches
168,169,Marcus Edwards,eng ENG,"MF,FW",Sporting CP,22,1998,5.8,278,0,6,114,163,34,278,9,19,47.4,19,11,229,42,Matches
169,170,Marcus Edwards,eng ENG,FW,Vitória,22,1998,14.3,531,3,39,196,311,74,528,46,75,61.3,47,21,410,93,Matches
170,171,Ricardo Esgaio,pt POR,"DF,MF",Sporting CP,28,1993,16.3,1147,47,278,582,298,29,1147,8,14,57.1,18,8,697,66,Matches
171,172,Tiago Esgaio,pt POR,DF,Arouca,25,1995,10.2,609,31,224,296,90,3,609,2,5,40.0,7,1,339,13,Matches
172,173,Tiago Esgaio,pt POR,DF,Braga,25,1995,0.8,51,0,13,23,15,1,51,0,0,,0,0,33,0,Matches
173,174,Dario Essugo,pt POR,MF,Sporting CP,16,2005,0.5,27,0,4,20,4,0,27,1,1,100.0,0,0,16,0,Matches
174,175,Gonçalo Esteves,pt POR,"DF,FW",Sporting CP,17,2004,1.6,83,3,22,34,29,2,83,6,9,66.7,5,1,58,6,Matches
175,176,Luís Esteves,pt POR,MF,Vitória,23,1998,0.4,40,0,5,24,11,0,40,0,0,,0,0,25,3,Matches
176,177,Paulo Estrela Moreira,pt POR,MF,Portimonense,22,1999,0.1,5,0,2,3,0,0,5,0,0,,0,0,2,0,Matches
177,178,Oscar Estupiñan,co COL,FW,Vitória,24,1996,24.1,562,24,35,272,259,102,561,12,29,41.4,53,25,410,62,Matches
178,179,Friday Etim,ng NGA,"FW,MF",FC Vizela,19,2002,0.2,7,0,0,2,5,2,7,0,1,0.0,1,0,4,2,Matches
179,180,Stephen Eustáquio,ca CAN,MF,Porto,24,1996,1.0,102,2,17,60,26,5,102,0,0,,4,1,64,4,Matches
180,181,Stephen Eustáquio,ca CAN,MF,Paços,24,1996,16.4,1014,40,236,609,174,22,1014,3,11,27.3,19,8,644,28,Matches
181,182,Evanilson,br BRA,FW,Porto,21,1999,22.5,712,14,52,261,405,124,711,19,36,52.8,55,20,549,154,Matches
182,183,Ewerton,br BRA,MF,Portimonense,28,1992,8.1,450,17,112,288,57,5,450,5,10,50.0,14,3,285,7,Matches
183,184,Fabiano,br BRA,"DF,MF",Braga,21,2000,15.8,965,50,275,451,255,10,965,10,27,37.0,33,16,532,48,Matches
184,185,Miguel Falé,pt POR,"FW,MF",Braga,17,2004,2.8,121,1,12,55,57,6,121,4,8,50.0,14,5,89,7,Matches
185,186,Zouhair Feddal,ma MAR,DF,Sporting CP,32,1989,11.2,911,75,376,500,37,7,911,1,2,50.0,7,0,708,2,Matches
186,187,Luiz Felipe,br BRA,GK,B-SAD,24,1997,32.0,1170,1061,1169,1,0,0,1170,0,0,,1,0,442,0,Matches
187,188,Volnei Feltes,br BRA,DF,Estoril,21,2000,1.7,88,21,52,36,0,0,88,1,1,100.0,1,0,56,0,Matches
188,189,Gedson Fernandes,pt POR,MF,Benfica,22,1999,0.6,54,4,13,29,12,1,54,1,3,33.3,1,1,42,0,Matches
