,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
124,125,Aníbal Chalá,ec ECU,"DF,MF",Atlas,25,1996,4.5,154,131,23,0,0,0,22,20,3,0,2,0,109,0,6,Matches
125,126,Diego Chávez Collins,mx MEX,"FW,MF",Toluca,26,1995,4.5,86,84,2,0,0,0,4,2,0,0,0,0,60,0,2,Matches
126,127,Luis Chávez,mx MEX,MF,Pachuca,25,1996,25.0,1170,1040,126,61,1,28,74,10,55,23,18,0,896,4,14,Matches
127,128,Ricardo Chávez Soto,mx MEX,DF,Atlético,26,1994,28.2,1225,904,318,25,0,7,108,282,11,0,9,0,841,3,34,Matches
128,129,Jesús Chiquete,mx MEX,DF,Guadalajara,19,2002,5.4,192,175,17,4,0,1,0,13,0,0,0,0,138,0,2,Matches
129,130,Ronaldo Cisneros,mx MEX,FW,Guadalajara,24,1997,0.3,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
130,131,Léo Coelho,br BRA,DF,Atlético,28,1993,7.1,185,176,8,7,0,0,3,1,0,0,0,0,112,1,2,Matches
131,132,Santiago Colombatto,ar ARG,MF,León,24,1997,21.6,968,926,33,28,5,12,23,0,5,2,3,0,812,9,7,Matches
132,133,Bryan Colula,mx MEX,"DF,FW",Mazatlán,25,1996,19.1,655,537,114,4,1,3,31,107,3,1,2,0,407,4,30,Matches
133,134,Francisco Contreras,mx MEX,"DF,MF",FC Juárez,22,1999,5.8,261,231,30,1,0,0,21,26,2,0,2,0,194,0,4,Matches
134,135,José Corona,mx MEX,GK,Cruz Azul,40,1981,17.0,509,311,197,43,0,0,0,0,0,0,0,0,346,1,0,Matches
135,136,Washington Corozo,ec ECU,"FW,MF",UNAM,23,1998,13.9,348,343,5,0,1,5,35,3,1,0,0,0,243,0,16,Matches
136,137,George Corral,mx MEX,"MF,DF",Puebla,31,1990,18.9,979,830,148,52,1,11,45,90,3,0,3,0,819,1,14,Matches
137,138,Jordi Cortizo,mx MEX,"MF,FW",Puebla,25,1996,8.1,266,261,2,0,1,1,2,2,0,0,0,0,216,3,7,Matches
138,139,Jordi Cortizo,mx MEX,"FW,MF",Tijuana,25,1996,4.3,168,158,9,2,0,0,9,5,2,1,0,0,121,1,6,Matches
139,140,Rodolfo Cota,mx MEX,GK,León,34,1987,31.0,937,589,343,86,0,0,0,0,0,0,0,0,753,5,1,Matches
140,141,Aldo Cruz,mx MEX,"DF,MF",UANL,23,1997,1.9,80,62,17,2,0,0,11,15,0,0,0,0,63,1,3,Matches
141,142,Alessio da Cruz,cv CPV,"FW,MF",Santos,24,1997,6.3,190,179,10,1,0,1,12,0,2,2,0,0,147,1,3,Matches
142,143,Jorge Daniel Hernández,mx MEX,MF,Pachuca,32,1989,8.6,413,400,12,9,0,4,0,2,0,0,0,0,342,1,5,Matches
143,144,Jorge Daniel Hernández,mx MEX,MF,Querétaro,32,1989,14.3,661,634,26,23,0,3,3,3,0,0,0,0,575,1,9,Matches
144,145,Juan David Castro,mx MEX,"MF,DF",Atlético,29,1991,7.4,243,213,29,6,0,1,21,17,6,1,5,0,191,1,5,Matches
145,146,José David Ramírez,mx MEX,DF,León,25,1995,19.5,944,806,136,19,2,2,28,117,0,0,0,0,784,2,15,Matches
146,147,Víctor Dávila,cl CHI,"FW,MF",León,23,1997,25.1,733,677,49,5,10,20,26,4,6,0,1,0,551,7,23,Matches
147,148,Diego De Buen,mx MEX,"DF,MF",Puebla,30,1991,22.8,1020,866,150,75,1,13,33,16,21,12,6,0,756,4,13,Matches
148,149,Everardo Del Villar,,,Toluca,16,2005,0.6,,,,,,,0,,,,,,,,,Matches
149,150,Benny Díaz,mx MEX,GK,Tijuana,22,1998,2.0,57,38,19,3,0,0,0,0,0,0,0,0,48,0,0,Matches
150,151,Nicolás Díaz Huincales,cl CHI,DF,Mazatlán,22,1999,24.6,1036,815,219,27,0,2,36,188,4,3,1,0,788,2,24,Matches
151,152,Jair Díaz,mx MEX,DF,Atlético,22,1998,21.6,734,564,168,11,1,15,20,157,0,0,0,0,517,2,8,Matches
152,153,Jonathan Díaz,mx MEX,DF,Santos,22,1999,1.6,87,61,26,0,0,0,4,26,0,0,0,0,67,0,1,Matches
153,154,Ricardo Díaz,mx MEX,GK,Querétaro,25,1995,1.1,36,27,9,0,0,0,0,0,0,0,0,0,26,0,0,Matches
154,155,Diego,br BRA,"DF,MF",Toluca,33,1988,11.3,539,452,85,6,0,2,28,74,5,1,3,0,391,2,15,Matches
155,156,Diogo,br BRA,"FW,MF",UNAM,24,1996,13.2,264,257,6,1,1,3,15,3,0,0,0,0,175,1,13,Matches
156,157,José Doldán,py PAR,DF,Querétaro,24,1997,7.5,313,299,14,9,0,3,1,5,0,0,0,0,235,0,3,Matches
157,158,Idekel Domínguez,mx MEX,DF,Necaxa,21,2000,14.7,669,508,159,11,0,7,15,148,0,0,0,0,526,2,14,Matches
158,159,Julio Domínguez,mx MEX,DF,Cruz Azul,33,1987,27.8,1341,1239,101,36,1,18,2,65,0,0,0,0,1123,1,8,Matches
159,160,Misael Domínguez,mx MEX,"MF,FW",Tijuana,21,1999,6.8,236,228,7,0,1,1,13,3,3,0,3,0,172,1,4,Matches
160,161,Dória,br BRA,DF,Santos,26,1994,31.0,1054,968,83,71,2,19,0,10,0,0,0,0,755,3,10,Matches
161,162,Jonathan dos Santos,mx MEX,MF,América,31,1990,2.3,147,139,8,7,0,1,4,1,0,0,0,0,129,0,0,Matches
162,163,Jesús Dueñas,mx MEX,"DF,MF",UANL,32,1989,14.3,762,634,128,12,0,6,32,116,0,0,0,0,648,0,10,Matches
163,164,Jhon Duque Arias,co COL,"MF,FW",Atlético,29,1992,2.8,71,68,3,2,1,0,4,1,0,0,0,0,50,0,4,Matches
164,165,Jonathan David dos Santos Duré,uy URU,FW,Querétaro,29,1992,11.1,190,162,25,0,0,1,2,0,0,0,0,0,122,3,5,Matches
165,166,Jorge Eduardo Sánchez,mx MEX,DF,América,23,1997,21.6,1112,897,214,7,1,8,66,206,1,0,0,0,875,1,19,Matches
166,167,Francisco Eduardo Venegas,mx MEX,DF,UANL,23,1998,1.9,105,91,14,2,0,2,3,12,0,0,0,0,80,0,3,Matches
167,168,Jesús Eduardo Zavala,mx MEX,"DF,MF",Mazatlán,34,1987,5.0,150,141,9,9,0,1,0,0,0,0,0,0,124,0,1,Matches
168,169,Alfonso Emilio Sánchez,mx MEX,MF,Mazatlán,27,1994,12.4,420,413,7,5,1,3,12,1,0,0,0,0,302,0,13,Matches
169,170,José Enrique Angulo,ec ECU,FW,Querétaro,26,1995,10.6,110,95,15,0,0,1,7,2,0,0,0,0,66,0,7,Matches
170,171,Luis Enrique Quiñones,co COL,"MF,FW",UANL,30,1991,24.2,1149,1100,46,4,1,3,164,19,20,4,7,0,839,3,44,Matches
171,172,Carlos Ernesto Cisneros,mx MEX,"DF,MF",Guadalajara,27,1993,16.4,689,535,153,21,0,3,81,97,35,19,11,1,483,1,21,Matches
172,173,Kevin Escamilla,mx MEX,MF,Querétaro,27,1994,22.7,741,718,21,17,1,6,3,2,0,0,0,0,612,2,13,Matches
173,174,Juan Escobar,py PAR,DF,Cruz Azul,26,1995,23.7,1040,844,193,27,2,13,51,166,0,0,0,0,753,3,20,Matches
174,175,Alonso Escoboza,mx MEX,"MF,DF",Necaxa,28,1993,18.9,744,609,135,25,2,7,109,78,32,9,13,1,502,0,19,Matches
175,176,Amaury Escoto,mx MEX,"FW,MF",Puebla,28,1992,4.3,102,94,7,0,0,4,7,3,2,1,0,0,69,1,3,Matches
176,177,José Espino,mx MEX,"MF,FW",Querétaro,20,2000,1.0,12,11,1,0,0,0,2,0,0,0,0,0,11,0,0,Matches
177,178,Michael Estrada,ec ECU,FW,Toluca,25,1996,5.6,87,73,14,1,0,0,3,1,0,0,0,0,59,0,1,Matches
178,179,Marco Fabián,mx MEX,"MF,FW",Mazatlán,32,1989,8.1,312,265,44,17,1,2,35,3,21,6,13,0,235,3,8,Matches
179,180,Carlos Felipe Rodríguez,mx MEX,GK,FC Juárez,32,1989,4.8,170,101,69,6,0,1,0,0,0,0,0,0,118,0,1,Matches
180,181,Omar Fernández Frasica,co COL,"MF,FW",León,28,1993,19.0,852,777,72,22,4,2,62,14,34,19,8,0,686,3,13,Matches
181,182,Gabriel Fernández,uy URU,FW,FC Juárez,27,1994,12.6,244,218,26,0,2,5,7,0,0,0,0,0,154,0,9,Matches
182,183,Leonardo Fernández,uy URU,"MF,FW",Toluca,22,1998,12.8,608,510,94,41,6,21,69,12,40,20,16,0,429,4,12,Matches
183,184,Leonardo Fernández,uy URU,"MF,FW",UANL,22,1998,4.1,187,160,27,12,1,9,27,3,12,5,6,0,131,0,3,Matches
184,185,Fernandinho,br BRA,"MF,DF",FC Juárez,24,1997,1.3,54,53,1,0,0,0,8,0,1,0,1,0,41,0,1,Matches
185,186,Luis Fernando Fuentes,mx MEX,DF,América,34,1986,21.6,1151,942,206,18,3,10,49,187,1,0,0,0,918,3,12,Matches
