,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
118,119,Todd Cantwell,eng ENG,MF,Bournemouth,23,1998,7.1,2,0,0,7,10,0,37,4,3,0,0,0,40,3,3,50.0,Matches
119,120,Sonny Carey,eng ENG,"MF,FW",Blackpool,20,2001,5.5,2,0,0,3,8,0,15,3,3,1,0,0,31,0,6,0.0,Matches
120,121,Ian Carlo Poveda,eng ENG,"FW,MF",Blackburn,21,2000,4.2,2,0,0,2,5,1,6,3,3,0,0,0,24,0,4,0.0,Matches
121,122,Andy Carroll,eng ENG,FW,West Brom,32,1989,11.5,0,0,0,21,23,8,5,3,1,0,0,0,29,109,75,59.2,Matches
122,123,Andy Carroll,eng ENG,FW,Reading,32,1989,6.6,0,0,0,13,3,3,3,1,3,0,0,0,12,42,29,59.2,Matches
123,124,Hayden Carter,eng ENG,DF,Blackburn,21,1999,6.5,3,1,1,5,1,0,5,3,11,0,0,0,30,18,20,47.4,Matches
124,125,Harvey Cartwright,eng ENG,GK,Hull City,19,2002,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
125,126,Fabio Carvalho,pt POR,MF,Fulham,18,2002,31.5,5,0,0,34,64,2,19,19,22,0,0,0,110,20,59,25.3,Matches
126,127,João Carvalho,pt POR,"MF,FW",Nott'ham Forest,24,1997,2.7,1,0,0,4,4,0,5,2,1,0,0,0,11,1,6,14.3,Matches
127,128,Oliver Casey,eng ENG,DF,Blackpool,20,2000,3.9,0,0,0,1,1,0,1,9,2,0,0,0,18,11,6,64.7,Matches
128,129,Quevin Castro,,FW,West Brom,,,0.4,0,0,0,0,0,0,0,0,1,,,0,,,,,Matches
129,130,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27,1993,6.7,1,0,0,6,10,2,30,8,8,0,0,0,31,8,17,32.0,Matches
130,131,Ilias Chair,ma MAR,"MF,FW",QPR,23,1997,35.0,5,0,0,16,30,6,192,11,6,0,0,0,137,4,25,13.8,Matches
131,132,Nathaniel Chalobah,eng ENG,MF,Fulham,26,1994,10.5,1,0,0,18,16,0,4,18,5,1,0,0,72,18,20,47.4,Matches
132,133,Harry Chapman,eng ENG,"MF,FW",Blackburn,23,1997,0.5,0,0,0,2,2,0,4,0,0,0,0,0,2,1,2,33.3,Matches
133,134,James Chester,wls WAL,DF,Stoke City,32,1989,15.9,1,0,0,16,5,1,0,25,17,0,0,0,88,49,37,57.0,Matches
134,135,Tahith Chong,nl NED,"FW,MF",Birmingham City,21,1999,17.3,2,0,0,19,44,4,62,4,7,0,0,0,87,2,28,6.7,Matches
135,136,Cyrus Christie,ie IRL,"DF,FW",Swansea City,28,1992,22.3,8,0,0,18,17,14,35,26,29,0,0,1,108,29,34,46.0,Matches
136,137,Ryan Christie,sct SCO,"FW,MF",Bournemouth,26,1995,33.3,6,0,0,40,51,6,120,40,36,0,0,0,174,22,47,31.9,Matches
137,138,Isaac Christie-Davies,wls WAL,MF,Barnsley,23,1997,0.9,0,0,0,1,1,0,2,3,1,0,0,0,10,2,1,66.7,Matches
138,139,Jordan Clark,eng ENG,"MF,FW",Luton Town,27,1993,18.7,2,0,0,19,18,4,45,21,17,0,0,0,104,23,27,46.0,Matches
139,140,Jahmari Clarke,jm JAM,FW,Reading,17,2003,1.9,1,0,0,6,1,1,0,0,1,0,0,0,2,1,15,6.3,Matches
140,141,Matthew Clarke,eng ENG,DF,West Brom,24,1996,30.5,5,0,0,26,27,0,9,62,33,0,0,0,221,129,61,67.9,Matches
