,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
437,438,Oliver Pérez,mx MEX,DF,UNAM,19,2002,2.0,0,1,1,100.0,0.49,0.49,0.00,0.00,30.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
438,439,Pavel Pérez,mx MEX,"FW,MF",Guadalajara,23,1998,2.0,1,4,1,25.0,1.98,0.49,0.25,1.00,18.7,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
439,440,Maximiliano Perg,uy URU,DF,Querétaro,29,1991,27.4,1,13,5,38.5,0.48,0.18,0.08,0.20,10.6,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
440,441,Orbelín Pineda,mx MEX,"FW,MF",Cruz Azul,25,1996,11.1,1,18,6,33.3,1.62,0.54,0.06,0.17,21.9,0,0,0,1.8,1.8,0.10,-0.8,-0.8,Matches
441,442,Jesús Piñuelas,mx MEX,DF,Atlético,23,1998,14.7,1,6,3,50.0,0.41,0.20,0.17,0.33,16.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
442,443,Guido Pizarro,ar ARG,"DF,MF",UANL,31,1990,26.7,2,20,10,50.0,0.75,0.37,0.10,0.20,16.1,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
443,444,Rodolfo Pizarro,mx MEX,"FW,MF",Monterrey,27,1994,5.4,1,5,1,20.0,0.93,0.19,0.20,1.00,13.2,0,0,0,0.8,0.8,0.17,+0.2,+0.2,Matches
444,445,Franco Pizzichillo,uy URU,DF,Santos,25,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
445,446,Vicente Poggi,uy URU,MF,Necaxa,19,2002,1.7,0,2,1,50.0,1.19,0.60,0.00,0.00,17.7,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
446,447,Osvaldo Rodríguez del Portal,mx MEX,DF,León,24,1996,21.1,1,11,3,27.3,0.52,0.14,0.09,0.33,16.2,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
447,448,Ayrton Preciado,ec ECU,FW,Santos,27,1994,5.3,3,9,4,44.4,1.71,0.76,0.33,0.75,16.6,1,0,0,0.9,0.9,0.10,+2.1,+2.1,Matches
448,449,Harold Preciado,co COL,FW,Santos,27,1994,12.9,6,35,23,65.7,2.72,1.79,0.17,0.26,16.5,0,0,0,4.7,4.7,0.13,+1.3,+1.3,Matches
449,450,Ronaldo Prieto,mx MEX,"MF,DF",Santos,24,1997,11.4,0,12,1,8.3,1.05,0.09,0.00,0.00,26.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
450,451,Julián Quiñones,co COL,"FW,MF",Atlas,24,1997,28.7,11,95,29,30.5,3.31,1.01,0.12,0.38,18.2,5,0,1,8.9,8.0,0.09,+2.1,+3.0,Matches
451,452,Mauro Quiroga,ar ARG,FW,Necaxa,31,1989,6.5,0,22,8,36.4,3.37,1.22,0.00,0.00,11.4,0,0,0,2.4,2.4,0.11,-2.4,-2.4,Matches
452,453,Yonatthan Rak,uy URU,DF,Tijuana,27,1993,21.2,0,7,0,0.0,0.33,0.00,0.00,,8.7,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
453,454,Cándido Ramírez,mx MEX,"MF,DF",FC Juárez,28,1993,3.4,0,5,2,40.0,1.46,0.58,0.00,0.00,22.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
454,455,Kevin Ramírez,uy URU,MF,Puebla,27,1994,1.6,0,6,2,33.3,3.78,1.26,0.00,0.00,12.4,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
455,456,Kevin Ramírez,uy URU,"MF,FW",Querétaro,27,1994,12.9,1,28,7,25.0,2.17,0.54,0.04,0.14,21.2,1,0,0,2.0,2.0,0.07,-1.0,-1.0,Matches
456,457,Juan Rangel,mx MEX,DF,León,21,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
457,458,Michael Rangel,co COL,"FW,MF",Mazatlán,30,1991,1.3,0,4,0,0.0,3.16,0.00,0.00,,15.1,0,0,0,0.8,0.8,0.19,-0.8,-0.8,Matches
