,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
123,124,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,964,63,282,330,359,21,964,3,13,23.1,13,13,540,44,Matches
124,125,Lucas Digne,fr FRA,DF,Everton,28,1993,13.0,813,44,272,305,247,15,813,8,17,47.1,9,6,387,22,Matches
125,126,Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,569,80,309,254,11,7,569,0,0,,2,1,350,1,Matches
126,127,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,244,7,33,93,121,26,244,12,29,41.4,23,9,145,14,Matches
127,128,Lewis Dobbin,eng ENG,"FW,MF",Everton,18,2003,0.4,13,0,1,7,5,2,13,0,1,0.0,1,1,8,2,Matches
128,129,Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,636,36,181,257,201,32,636,6,10,60.0,17,6,416,43,Matches
129,130,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34.0,2338,314,1148,1105,98,46,2338,4,4,100.0,18,5,1698,9,Matches
130,131,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,1386,63,330,741,337,45,1386,21,41,51.2,43,22,760,53,Matches
131,132,Kieran Dowell,eng ENG,"FW,MF",Norwich City,23,1997,10.1,416,6,62,170,188,13,416,7,14,50.0,13,15,283,36,Matches
132,133,Cody Drameh,eng ENG,"DF,MF",Leeds United,19,2001,1.4,97,4,39,39,19,2,97,2,4,50.0,5,0,45,2,Matches
133,134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26.0,897,690,889,9,0,0,897,0,0,,0,0,324,0,Matches
134,135,Shane Duffy,ie IRL,DF,Brighton,29,1992,16.0,1216,189,676,492,52,31,1216,1,1,100.0,7,0,847,3,Matches
135,136,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,93,8,32,50,12,0,93,0,0,,1,0,37,1,Matches
136,137,Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,2199,281,1182,949,76,36,2199,4,4,100.0,11,3,1571,3,Matches
137,138,Ederson,br BRA,GK,Manchester City,27,1993,37.0,1174,911,1164,10,0,0,1174,0,0,,0,0,715,0,Matches
138,139,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,670,20,69,298,313,81,669,30,67,44.8,62,27,473,102,Matches
139,140,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0.0,1,1,1,0,0,0,1,0,0,,0,0,0,0,Matches
140,141,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,613,11,109,212,294,55,613,11,31,35.5,37,15,447,79,Matches
141,142,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,300,1,23,131,148,19,300,2,9,22.2,8,0,225,27,Matches
142,143,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9.0,629,33,144,392,96,2,629,0,1,0.0,4,3,466,3,Matches
143,144,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,26,1994,22.7,921,37,132,364,439,82,921,28,45,62.2,63,38,589,89,Matches
