,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
162,163,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7.0,528,520,8,7,0,1,0,1,0,0,0,0,470,0,4,Matches
163,164,Pablo Fornals,es ESP,"FW,MF",West Ham,25,1996,31.1,1417,1339,73,5,11,19,87,9,41,32,2,0,1052,5,36,Matches
164,165,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17.0,842,805,31,25,6,6,5,5,0,0,0,0,695,6,18,Matches
165,166,Marcus Forss,fi FIN,"FW,MF",Brentford,22,1999,2.3,38,34,3,0,0,1,1,0,0,0,0,0,22,1,1,Matches
166,167,Fraser Forster,eng ENG,GK,Southampton,33,1988,19.0,603,393,208,68,0,0,0,0,0,0,0,0,360,2,1,Matches
167,168,Ben Foster,eng ENG,GK,Watford,38,1983,26.0,886,552,328,105,0,3,0,0,0,0,0,0,428,6,1,Matches
168,169,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0,Matches
169,170,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,27,1994,16.3,482,432,44,9,1,2,88,2,29,15,6,5,334,6,14,Matches
170,171,Fred,br BRA,MF,Manchester Utd,28,1993,22.5,1358,1319,35,27,11,13,3,8,0,0,0,0,1137,4,34,Matches
171,172,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,150,128,21,0,0,0,9,21,0,0,0,0,113,1,3,Matches
172,173,Leo Fuhr Hjelde,no NOR,"MF,DF",Leeds United,17,2003,1.7,108,83,25,0,0,1,3,25,0,0,0,0,79,0,2,Matches
173,174,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,1188,1030,151,70,2,8,128,4,62,26,16,4,890,7,27,Matches
174,175,Alejandro Garnacho,es ESP,"FW,MF",Manchester Utd,17,2004,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
175,176,Dwight Gayle,eng ENG,"FW,DF",Newcastle Utd,30,1990,0.4,16,16,0,0,0,0,0,0,0,0,0,0,13,0,1,Matches
176,177,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,22,21,1,1,0,1,0,0,0,0,0,0,16,0,1,Matches
177,178,David de Gea,es ESP,GK,Manchester Utd,30,1990,38.0,924,564,358,59,0,3,0,0,0,0,0,0,677,2,1,Matches
178,179,Joe Gelhardt,eng ENG,"FW,MF",Leeds United,19,2002,8.3,163,136,27,0,1,0,3,0,0,0,0,0,106,0,2,Matches
179,180,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,26,1995,4.3,119,117,2,0,1,0,14,2,0,0,0,0,84,0,5,Matches
180,181,Anwar El Ghazi,nl NED,"FW,MF",Everton,26,1995,0.1,9,7,2,0,0,0,0,0,2,0,0,0,7,0,0,Matches
181,182,Saman Ghoddos,ir IRN,"MF,DF",Brentford,27,1993,6.0,216,189,26,12,2,2,21,4,8,6,2,0,143,1,8,Matches
182,183,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13.0,714,585,127,8,0,3,44,115,4,4,0,0,530,2,15,Matches
183,184,Morgan Gibbs-White,eng ENG,"DF,FW",Wolves,21,2000,0.1,10,9,1,0,0,0,1,0,1,1,0,0,7,0,1,Matches
184,185,Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,1382,1319,57,47,0,10,1,9,0,0,0,0,1117,6,11,Matches
185,186,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,1243,1110,130,41,2,22,98,6,64,25,36,2,991,3,15,Matches
