,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
97,98,Tyler Burey,eng ENG,"FW,MF",Millwall,19,2001,6.9,57,90,63.3,809,135,41,48,85.4,10,20,50.0,5,6,83.3,0,0.2,0.3,-0.2,3,2,3,2,3,Matches
98,99,Oliver Burke,sct SCO,FW,Sheffield Utd,24,1997,1.9,32,39,82.1,389,37,22,24,91.7,10,11,90.9,0,0,,0,0.0,0.0,0.0,0,1,1,0,1,Matches
99,100,Oliver Burke,sct SCO,"FW,MF",Millwall,24,1997,9.0,177,255,69.4,2352,493,112,148,75.7,47,67,70.1,7,11,63.6,1,1.3,0.8,-0.3,6,10,7,1,19,Matches
100,101,Reece Burke,eng ENG,DF,Luton Town,24,1996,23.5,617,962,64.1,12170,4844,209,276,75.7,327,436,75.0,74,214,34.6,0,0.5,1.5,-0.5,7,73,9,4,66,Matches
101,102,Finley Burns,eng ENG,DF,Swansea City,18,2003,2.3,125,133,94.0,2098,532,52,54,96.3,59,59,100.0,9,13,69.2,0,0.0,0.1,0.0,0,7,0,0,3,Matches
102,103,Harrison Burrows,eng ENG,"DF,MF",P'borough Utd,19,2002,29.0,861,1306,65.9,14124,5337,458,542,84.5,305,435,70.1,74,234,31.6,7,4.6,4.2,+2.4,41,80,24,10,77,Matches
103,104,Josef Bursik,eng ENG,GK,Stoke City,21,2000,19.0,453,613,73.9,11365,8312,136,136,100.0,198,200,99.0,114,269,42.4,0,0.0,0.0,0.0,0,5,0,0,0,Matches
104,105,Dan Butler,eng ENG,DF,P'borough Utd,26,1994,18.5,833,1099,75.8,15531,5184,353,407,86.7,370,458,80.8,101,197,51.3,1,0.6,1.0,+0.4,9,58,15,10,73,Matches
105,106,Daniel Butterworth,eng ENG,"FW,MF",Blackburn,21,1999,2.9,47,66,71.2,743,241,26,27,96.3,15,22,68.2,4,8,50.0,0,0.5,0.3,-0.5,2,8,6,0,12,Matches
106,107,David Button,eng ENG,GK,West Brom,32,1989,10.0,237,353,67.1,7445,5254,39,39,100.0,92,94,97.9,104,217,47.9,1,0.2,0.3,+0.8,1,8,0,0,1,Matches
