,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
103,104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,0,4,0,0.0,2.31,0.00,0.00,,12.3,0,0,0,0.8,0.8,0.20,-0.8,-0.8,Matches
104,105,Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,0,10,1,10.0,0.41,0.04,0.00,0.00,13.1,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
105,106,Nicolò Casale,it ITA,DF,Hellas Verona,23,1998,28.7,0,10,0,0.0,0.35,0.00,0.00,,12.9,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
106,107,Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,108,Samu Castillejo,es ESP,"FW,MF",Milan,26,1995,1.4,0,2,0,0.0,1.44,0.00,0.00,,14.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
108,109,Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,1,15,2,13.3,0.97,0.13,0.07,0.50,17.3,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
109,110,Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,1,12,4,33.3,0.63,0.21,0.08,0.25,28.0,3,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
110,111,Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,2,19,6,31.6,0.55,0.17,0.11,0.33,11.1,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
111,112,Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,1,11,2,18.2,0.42,0.08,0.09,0.50,11.4,0,0,0,2.0,2.0,0.18,-1.0,-1.0,Matches
112,113,Emil Ceide,no NOR,"FW,MF",Sassuolo,19,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,114,Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,1,6,1,16.7,0.37,0.06,0.17,1.00,11.0,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
114,115,Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,116,Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,0,3,1,33.3,0.55,0.18,0.00,0.00,13.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
116,117,Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,0,4,0,0.0,0.27,0.00,0.00,,10.8,0,0,0,0.8,0.8,0.20,-0.8,-0.8,Matches
117,118,Federico Chiesa,it ITA,"MF,FW",Juventus,23,1997,9.6,2,28,9,32.1,2.92,0.94,0.07,0.22,16.9,0,0,0,2.8,2.8,0.10,-0.8,-0.8,Matches
118,119,Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,0,9,2,22.2,0.35,0.08,0.00,0.00,16.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
119,120,Riccardo Ciervo,it ITA,"MF,DF",Sampdoria,19,2002,2.5,0,3,1,33.3,1.19,0.40,0.00,0.00,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
120,121,Moustapha Cissé,gn GUI,FW,Atalanta,17,2003,0.4,1,3,1,33.3,7.11,2.37,0.33,1.00,12.4,0,0,0,0.6,0.6,0.19,+0.4,+0.4,Matches
121,122,Giorgio Cittadini,it ITA,DF,Atalanta,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,123,Ebrima Colley,gm GAM,"FW,MF",Spezia,21,2000,4.4,0,12,5,41.7,2.74,1.14,0.00,0.00,21.8,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
123,124,Omar Colley,gm GAM,DF,Sampdoria,28,1992,30.5,0,11,1,9.1,0.36,0.03,0.00,0.00,10.4,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
124,125,Andrea Consigli,it ITA,GK,Sassuolo,34,1987,36.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
125,126,Andrea Conti,it ITA,"DF,MF",Sampdoria,27,1994,2.6,1,4,1,25.0,1.54,0.38,0.25,1.00,12.4,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
126,127,Andrea Conti,it ITA,DF,Milan,27,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,128,Diego Coppola,it ITA,DF,Hellas Verona,17,2003,2.8,0,1,0,0.0,0.36,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
128,129,Joaquín Correa,ar ARG,FW,Inter,26,1994,11.4,6,35,16,45.7,3.07,1.40,0.17,0.38,13.0,0,0,0,5.6,5.6,0.16,+0.4,+0.4,Matches
129,130,Lassana Coulibaly,ml MLI,MF,Salernitana,25,1996,25.9,0,22,7,31.8,0.85,0.27,0.00,0.00,25.7,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
130,131,Mamadou Coulibaly,sn SEN,MF,Salernitana,22,1999,9.0,2,10,4,40.0,1.11,0.45,0.20,0.50,19.6,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Matches
131,132,Alessio Cragno,it ITA,GK,Cagliari,27,1994,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,133,Domenico Criscito,it ITA,DF,Genoa,34,1986,18.0,6,17,0,0.0,0.95,0.00,0.00,,32.5,0,6,7,6.0,0.5,0.03,0.0,-0.5,Matches
133,134,Bryan Cristante,it ITA,MF,Roma,26,1995,29.8,2,40,5,12.5,1.34,0.17,0.05,0.40,17.0,0,0,0,3.0,3.0,0.07,-1.0,-1.0,Matches
134,135,Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,3,32,12,37.5,1.53,0.57,0.09,0.25,22.4,0,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches
135,136,Giovanni Crociata,it ITA,FW,Empoli,23,1997,0.2,0,1,0,0.0,6.00,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
136,137,Juan Cuadrado,co COL,"DF,MF",Juventus,33,1988,27.6,4,36,13,36.1,1.30,0.47,0.11,0.31,21.4,5,0,0,2.4,2.4,0.07,+1.6,+1.6,Matches
137,138,Mickaël Cuisance,fr FRA,MF,Venezia,21,1999,10.2,0,6,1,16.7,0.59,0.10,0.00,0.00,20.5,2,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
138,139,Patrick Cutrone,it ITA,FW,Empoli,23,1998,15.6,3,50,14,28.0,3.21,0.90,0.06,0.21,15.8,0,0,0,4.4,4.4,0.09,-1.4,-1.4,Matches
