,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
131,132,Santiago Colombatto,ar ARG,MF,León,24,1997,21.6,23,10,7,14,2,9,37,24.3,28,16,5,11,9,32,15,0,Matches
132,133,Bryan Colula,mx MEX,"DF,FW",Mazatlán,25,1996,19.1,30,14,15,11,4,20,37,54.1,17,22,7,15,31,61,39,0,Matches
133,134,Francisco Contreras,mx MEX,"DF,MF",FC Juárez,22,1999,5.8,8,4,3,4,1,5,8,62.5,3,7,1,6,3,11,9,0,Matches
134,135,José Corona,mx MEX,GK,Cruz Azul,40,1981,17.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
135,136,Washington Corozo,ec ECU,"FW,MF",UNAM,23,1998,13.9,19,10,5,12,2,6,20,30.0,14,12,1,11,6,25,9,0,Matches
136,137,George Corral,mx MEX,"MF,DF",Puebla,31,1990,18.9,21,11,11,9,1,8,15,53.3,7,11,2,9,13,34,31,1,Matches
137,138,Jordi Cortizo,mx MEX,"MF,FW",Puebla,25,1996,8.1,19,5,8,10,1,7,24,29.2,17,5,0,5,1,20,6,0,Matches
138,139,Jordi Cortizo,mx MEX,"FW,MF",Tijuana,25,1996,4.3,17,9,3,12,2,6,11,54.5,5,2,0,2,1,18,4,0,Matches
139,140,Rodolfo Cota,mx MEX,GK,León,34,1987,31.0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,10,2,Matches
140,141,Aldo Cruz,mx MEX,"DF,MF",UANL,23,1997,1.9,3,3,2,0,1,0,0,,0,2,1,1,2,5,5,0,Matches
141,142,Alessio da Cruz,cv CPV,"FW,MF",Santos,24,1997,6.3,10,4,0,6,4,6,11,54.5,5,6,0,6,1,11,0,0,Matches
142,143,Jorge Daniel Hernández,mx MEX,MF,Pachuca,32,1989,8.6,14,9,4,9,1,7,21,33.3,14,13,8,5,10,24,11,0,Matches
143,144,Jorge Daniel Hernández,mx MEX,MF,Querétaro,32,1989,14.3,18,10,6,12,0,8,28,28.6,20,7,2,5,17,35,16,1,Matches
144,145,Juan David Castro,mx MEX,"MF,DF",Atlético,29,1991,7.4,8,3,3,3,2,6,8,75.0,2,11,1,10,7,15,4,0,Matches
145,146,José David Ramírez,mx MEX,DF,León,25,1995,19.5,27,13,11,10,6,17,30,56.7,13,17,1,16,17,44,41,0,Matches
146,147,Víctor Dávila,cl CHI,"FW,MF",León,23,1997,25.1,10,8,5,3,2,5,11,45.5,6,15,3,12,4,14,22,0,Matches
147,148,Diego De Buen,mx MEX,"DF,MF",Puebla,30,1991,22.8,50,29,26,23,1,16,31,51.6,15,30,12,18,26,76,88,1,Matches
148,149,Everardo Del Villar,,,Toluca,16,2005,0.6,,2,,,,,,,,,,,0,,,,Matches
149,150,Benny Díaz,mx MEX,GK,Tijuana,22,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
150,151,Nicolás Díaz Huincales,cl CHI,DF,Mazatlán,22,1999,24.6,54,30,33,16,5,28,42,66.7,14,21,6,15,31,85,69,0,Matches
151,152,Jair Díaz,mx MEX,DF,Atlético,22,1998,21.6,69,44,48,17,4,39,58,67.2,19,15,6,9,33,102,57,1,Matches
152,153,Jonathan Díaz,mx MEX,DF,Santos,22,1999,1.6,3,2,3,0,0,0,0,,0,1,0,1,1,4,2,0,Matches
153,154,Ricardo Díaz,mx MEX,GK,Querétaro,25,1995,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
154,155,Diego,br BRA,"DF,MF",Toluca,33,1988,11.3,22,11,15,7,0,12,19,63.2,7,8,3,5,24,46,31,0,Matches
155,156,Diogo,br BRA,"FW,MF",UNAM,24,1996,13.2,27,14,7,13,7,8,23,34.8,15,13,0,13,8,35,13,0,Matches
156,157,José Doldán,py PAR,DF,Querétaro,24,1997,7.5,11,5,7,3,1,5,6,83.3,1,8,5,3,14,25,33,0,Matches
157,158,Idekel Domínguez,mx MEX,DF,Necaxa,21,2000,14.7,52,25,30,18,4,27,48,56.3,21,21,10,11,25,77,23,0,Matches
158,159,Julio Domínguez,mx MEX,DF,Cruz Azul,33,1987,27.8,26,12,14,11,1,14,19,73.7,5,22,17,5,31,57,82,1,Matches
159,160,Misael Domínguez,mx MEX,"MF,FW",Tijuana,21,1999,6.8,9,4,3,4,2,4,17,23.5,13,5,2,3,0,9,1,0,Matches
160,161,Dória,br BRA,DF,Santos,26,1994,31.0,27,16,19,5,3,17,27,63.0,10,53,36,17,42,69,103,1,Matches
161,162,Jonathan dos Santos,mx MEX,MF,América,31,1990,2.3,6,5,2,4,0,3,6,50.0,3,0,0,0,5,11,1,0,Matches
162,163,Jesús Dueñas,mx MEX,"DF,MF",UANL,32,1989,14.3,16,8,8,6,2,8,24,33.3,16,11,4,7,14,30,16,0,Matches
163,164,Jhon Duque Arias,co COL,"MF,FW",Atlético,29,1992,2.8,10,6,4,5,1,2,6,33.3,4,6,1,5,5,15,2,0,Matches
164,165,Jonathan David dos Santos Duré,uy URU,FW,Querétaro,29,1992,11.1,8,6,4,2,2,4,5,80.0,1,6,4,2,0,8,14,0,Matches
165,166,Jorge Eduardo Sánchez,mx MEX,DF,América,23,1997,21.6,61,36,33,23,5,36,62,58.1,26,23,4,19,19,80,44,0,Matches
166,167,Francisco Eduardo Venegas,mx MEX,DF,UANL,23,1998,1.9,3,0,3,0,0,2,4,50.0,2,4,0,4,6,9,3,0,Matches
167,168,Jesús Eduardo Zavala,mx MEX,"DF,MF",Mazatlán,34,1987,5.0,6,3,5,1,0,4,5,80.0,1,6,3,3,9,15,21,0,Matches
168,169,Alfonso Emilio Sánchez,mx MEX,MF,Mazatlán,27,1994,12.4,34,19,19,11,4,15,32,46.9,17,10,2,8,11,45,10,0,Matches
169,170,José Enrique Angulo,ec ECU,FW,Querétaro,26,1995,10.6,5,3,0,3,2,1,4,25.0,3,4,1,3,1,6,9,0,Matches
170,171,Luis Enrique Quiñones,co COL,"MF,FW",UANL,30,1991,24.2,53,28,12,31,10,22,68,32.4,46,29,1,28,11,64,8,0,Matches
